"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Long Ride","Bike","","2","","2025-02-01","","36092.0306250006","127","382","1003.862","","2.19138888888889","4.5749816992015","","77","","137","160","","","0.70003641136561","82.83","112","19","0","0","0","0","0","","","","66","31","25","9","1","1","","","","","",""
"Long Run","Run","or 155-165bpm","0.826111111111111","10000","2025-02-02","","10022.849609375","","","","","0.813658595085144","3.42199993133545","","159","","162","174","","","0.794666305902445","56.66","4","24","20","0","0","0","0","","","","","","","","","","","","","","3","3"
"Really Easy - Miguel Pace Partner","Bike","","0.75","","2025-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSS Test","Swim","","","1500","2025-02-03","","1500","","","","","0.444685831069946","0.932256059664388","","57","","","","","","0.927621190464952","35.49","","","","","","","","","","","","","","","","","","","","","",""
"30 min Threshold","Run","","0.841666666666667","11732","2025-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cp5","Bike","","0.666666666666667","","2025-02-04","","21544.41015625","152","492","425.842","","0.762499988079071","7.84800004959106","","75","","132","190","","","0.833082896720067","51.63","42","2","1","3","1","0","0","","","","37","3","0","2","1","5","","","","","",""
"2.","Swim","","0.416666666666667","1500","2025-02-05","","1500","","","","","0.417681113349067","0.993377483443709","","57","","","","","","0.987595528781459","40.23","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run","Run","or 155-165bpm","1","11476","2025-02-05","","9379.7998046875","0","0","","","0.844722211360931","3.08400011062622","","158","","142","155","","","0.738557928417667","50.88","49","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"","Bike","","0.25","","2025-02-06","","6350.39013671875","170","396","156.166","","0.255277782678604","6.90999984741211","","79","","0","0","","","0.793319136118649","15.52","","","","","","","","","","","17","1","0","0","2","1","","","","","",""
"Cp20","Bike","","1","","2025-02-06","","27585.55078125","187","408","684.246","","1.00555551052094","7.61999988555908","","80","","141","182","","","0.884315269759665","77.99","41","5","5","11","0","0","0","","","","28","13","1","3","12","5","","","","","",""
"Easy Maria Pace Partner - High cadence Focus @79.5kg","Bike","5* 3min @ 100-110rpm","1","","2025-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Endurance","Swim","","0.757777777777778","2200","2025-02-07","","2200","","","","","0.655416666136848","0.925536390408077","","52","","","","","","0.923076923823111","51.55","","","","","","","","","","","","","","","","","","","","","",""
"Long Run","Run","or 155-165bpm","1.32166666666667","16000","2025-02-08","","16019.099609375","","","","","1.35139107704163","3.29299998283386","","162","","156","164","","","0.766465696820134","88.61","10","71","0","0","0","0","0","","","","","","","","","","","","","","3","5"
